"Measured
Depth (ft)";"Inclination
(degrees)";"Azimuth
(degrees)";"True Vertical
Depth (ft)";N-S (ft);E-W (ft)
0.0;0.00;359.98;0.0;0.0;0.0
241.0;0.69;358.29;241.0;1.5;0.0
337.0;1.04;359.49;337.0;2.9;-0.1
545.0;0.17;93.92;545.0;4.8;0.2
731.0;0.07;271.76;731.0;4.8;0.4
822.0;0.12;37.38;822.0;4.8;0.4
914.0;0.15;342.6;914.0;5.0;0.4
1,005.0;0.47;187.27;1,005.0;4.8;0.3
1,101.0;0.19;350.91;1,101.0;4.5;0.3
1,195.0;0.07;294.81;1,195.0;4.7;0.2
1,291.0;0.19;82.64;1,291.0;4.8;0.3
1,386.0;0.12;297.71;1,386.0;4.8;0.3
1,480.0;0.24;141.52;1,480.0;4.7;0.4
1,576.0;0.17;48.65;1,576.0;4.6;0.6
1,670.0;0.10;216.87;1,670.0;4.7;0.7
1,765.0;0.14;231.05;1,765.0;4.5;0.5
1,861.0;0.18;123.07;1,861.0;4.4;0.6
1,955.0;0.10;292.13;1,955.0;4.3;0.6
2,050.0;0.26;216.12;2,050.0;4.2;0.4
2,145.0;0.15;323.76;2,145.0;4.1;0.2
2,240.0;0.12;115.81;2,240.0;4.2;0.2
2,335.0;0.18;98.85;2,335.0;4.1;0.5
2,431.0;0.11;21.4;2,431.0;4.2;0.6
2,526.0;0.08;179.69;2,526.0;4.2;0.7
2,620.0;0.10;52.94;2,620.0;4.2;0.7
2,715.0;0.12;192.1;2,715.0;4.1;0.8
2,810.0;0.13;85.79;2,810.0;4.0;0.9
2,905.0;0.14;127.62;2,905.0;4.0;1.1
2,981.0;0.09;327.33;2,981.0;4.0;1.1
3,101.0;0.15;39.36;3,101.0;4.2;1.2
3,196.0;0.18;42.83;3,196.0;4.4;1.3
3,289.0;0.08;311.16;3,289.0;4.5;1.4
3,384.0;0.76;228.36;3,384.0;4.1;0.9
3,480.0;2.55;231.96;3,479.9;2.4;-1.3
3,575.0;3.93;223.19;3,574.8;-1.3;-5.2
3,642.0;3.93;218.32;3,641.6;-4.7;-8.2
